POI Name,Latitude,Longitude
Özel Derece Okulları,40.9335516,29.1191359
zeythin,40.9781809,29.1070318
Fırtına Restoran,40.9490212,29.1062056
Mado,40.9240278,29.1263086
Hasan Usta Bostancı İskele,40.9532458,29.0951248
Çınaraltı Mangalbaşı,40.9527134,29.0962782
Escape,40.9752224,29.1544603
Lucas Si,40.9751859,29.1543976
Old Car Garage,40.9750749,29.1542045
Hayal Cafe,40.9399007,29.1192328
Kafe Kaan,40.9408387,29.1213766
Serkan Cafe,40.9413353,29.1218318
Kahta Çiğköfte,40.9417297,29.1226394
Yeşim Cafe,40.9417952,29.1227277
W Cafe Brasserie;Nezih Kırtasiye,40.9577634,29.1820467
Pinhan Cafe & Restaurant,40.9456105,29.1044666
Beltur Restoran,40.9341015,29.115103
İdealtepe Sahil,40.9339496,29.1129443
Leziza,40.9408667,29.11631
Mavi Sandal Balikcisi,40.9109214,29.1962729
VILLA ADALAR,40.9389761,29.112943
Konyalım Etli Ekmek,40.9510856,29.1023587
Starbucks,40.9528912,29.0949396
Nokta Cafe,40.9515361,29.0982897
Tavacı Recep Usta,40.952137,29.0970467
Nalia Karadeniz Mutfağı,40.967445,29.1067175
Kale,40.9536008,29.0951556
Marmara Et,40.9638644,29.2157298
Kürekçiler Yemek Evi,40.9419187,29.1453625
Çamlık Pide,40.9420785,29.1453671
Çeltik Kebap Lahmacun,40.942199,29.1444038
Ançera Pastanesi,40.906871,29.1779474
Unknown,40.9292589,29.1440603
Cafeteria,40.925929,29.1436408
As İskender,40.9522408,29.1011664
Süreyya Lokantası,40.9311557,29.1280681
Tüylüoğlu Pastanesi,40.931603,29.1285729
Sürmene Pide,40.93231,29.1282369
Ali Kolcuoğlu Kebap,40.9402318,29.143149
Meşi Pasta Cafe & Restaurant,40.9407241,29.1431222
çeltik,40.924127,29.1319931
Pusula Kokoreç,40.9247025,29.1316464
Hacıoğlu Restoran,40.9241219,29.1325138
Aras Bey İskender Kebap,40.924044,29.1326412
Unknown,40.9247036,29.1397488
Barcelona Futbol Okulu,40.9603507,29.1832689
Kaplan Kebap,40.9378901,29.141133
La Bella Pastanesi,40.9384053,29.1380369
İsmet Bey Çiftliği,40.9304681,29.1340964
BALIKÇI SİNAN,40.9368095,29.1218494
Cadde Dürüm,40.9367717,29.1220017
Pilavcı,40.9242874,29.1346721
köpük cafe,40.9199999,29.1381842
Duru Mangalevi,40.9452471,29.120196
Ev Yemekçisi,40.9387844,29.1444705
Molero,40.9573286,29.1816943
Prenses Cafe,40.9346234,29.138481
Cafeteria,40.92308,29.1424908
Kale Pide ve Lahmacun,40.9223352,29.1410728
Yöre Gözleme,40.9218471,29.1398628
Cafeteria,40.9217323,29.1387864
Hacı Baba Pide,40.9218402,29.1385145
Pide Börek,40.9215683,29.1380996
Eşiyok Köfte,40.9212768,29.137498
Gülseren Ev Yemekleri,40.9213278,29.1388079
Cafeteria,40.9215272,29.1387916
Her dem,40.9212865,29.1290746
Osmangazi İmam Hatip Ortaokulu,40.934432,29.1324541
Gunhan koleji,40.9148003,29.1403161
Unknown,40.9146894,29.140427
Unknown,40.9170687,29.1368643
Moni,40.9170876,29.1368539
Unknown,40.9171044,29.1367824
Unknown,40.9173007,29.1363018
Gün han Koleji,40.9146984,29.1403978
Unknown,40.9193396,29.1316961
Şehir Üniversitesi,40.9129198,29.150234
Maltepe Üniversitesi,40.958189,29.1898087
John Ross,40.976036,29.1504016
Glutensiz Ada,40.9271231,29.1235634
Çara Döner,40.9665183,29.10689
Maltepe Çamlık Çay Bahçesi,40.9256493,29.1297795
Karadeniz Pide Kebab Salonu,40.9158731,29.2050985
Sarıyer Börekcisi,40.9301261,29.1344313
Meşhur Adıyamanlı Çiğköfteci,40.9287203,29.1343049
ÇiçekYolla.com.tr,40.9279401,29.1339324
Kahve Dünyası,40.9594747,29.0950118
